time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
2146,0,0.1,-0.30000000000000004,-4.5,-5.1000000000000005,-30.1,right,right_3
2246,-0.30000000000000004,0.30000000000000004,-0.4,-2,-2.7,-22.6,right,right_3
2346,-0.4,0.1,-0.1,3.1,-2.3,-15.8,right,right_3
2446,-0.6000000000000001,-0.30000000000000004,0.2,0.9000000000000001,-0.9000000000000001,-8.100000000000001,right,right_3
14,0,0,0.1,-1.6,-3.6000000000000005,-9.899999999999999,right,right_4
114,-0.30000000000000004,0,-0.1,5.300000000000001,-1.6,-11.700000000000001,right,right_4
214,-0.2,-0.2,0.6000000000000001,-2.8,-3.4,-21.1,right,right_4
314,-0.1,0.1,-0.30000000000000004,-0.4,-3.4,-24.8,right,right_4
414,0.1,-0.2,0.30000000000000004,1.8000000000000003,-2.7,-34.50000000000001,right,right_4
514,0.2,-0.1,0.1,5.1000000000000005,-10.5,-47,right,right_4
614,0,-0.6000000000000001,0.1,-4.1,-10.600000000000001,-50.400000000000006,right,right_4
714,0.2,-0.1,-0.5,-1.9,-4.6,-52.2,right,right_4
814,0.7000000000000001,-0.1,0.1,4.800000000000001,-16.6,-54.50000000000001,right,right_4
914,-0.2,0.1,-0.1,5.300000000000001,-10,-53.50000000000001,right,right_4
1014,-0.1,-0.1,-0.1,3.7000000000000006,-7.8,-52.400000000000006,right,right_4
1114,-0.4,0.1,0,-1.7,-9.100000000000001,-46.7,right,right_4
1214,-0.4,-0.1,-0.2,0.2,-10.1,-38.800000000000004,right,right_4
1314,0,0,0.2,-7.300000000000001,-14.600000000000001,-37.6,right,right_4
1414,-0.5,0.1,-0.5,-0.1,0.8,-29.500000000000004,right,right_4
1514,-0.2,-0.1,0.2,-2.7,-7.400000000000001,-29.900000000000006,right,right_4
1614,-0.30000000000000004,0,-0.7000000000000001,5.1000000000000005,-11.2,-31.6,right,right_4
1714,-0.4,0,0.5,-6,-7.500000000000001,-35.2,right,right_4
1814,-0.1,0.2,-0.2,-0.4,-5.1000000000000005,-31,right,right_4
1914,-0.30000000000000004,0.1,-0.1,2,-1.9,-35.4,right,right_4
